words|counts
occasion|2
smiles|1
second|10
polon|38
aboord|3
shame|7
winde|12
shoulder|1
saile|3
precepts|2
character|2
vnproportion|1
familiar|1
meanes|19
adoption|1
tride|1
grapple|2
hoopes|1
steele|3
dull|5
palme|2
entertainment|3
vnhatch|1
vnfledg|1
comrade|1
beware|2
entrance|1
quarrell|1
bear|1
opposed|1
euery|8
mans|5
censure|3
reserue|1
iudgement|10
costly|1
habit|1
purse|2
buy|5
exprest|1
fancie|1
rich|3
gawdie|1
apparell|1
proclaimes|2
ranck|1
station|2
select|1
generous|3
cheff|1
neither|6
borrower|1
lender|1
lone|1
loses|1
borrowing|1
duls|1
edge|3
husbandry|1
aboue|4
follow|21
canst|2
false|6
humbly|4
inuites|1
goe|17
seruants|2
tend|4
said|13
lockt|1
key|1
ist|4
please|11
somthing|2
ord|1
marry|15
bethought|1
giuen|10
priuate|1
audience|5
free|11
bounteous|1
put|22
caution|1
vnderstand|6
cleerely|1
behoues|1
daughter|16
betweene|15
many|15
tenders|3
puh|2
girle|1
vnsifted|1
perillous|1
circumstance|6
call|23
baby|2
tane|3
pay|3
starling|1
tender|3
dearly|1
crack|2
phrase|9
roaming|1
foole|6
importun|1
honourable|3
speech|16
vowes|6
springes|1
catch|2
woodcocks|1
bloud|4
giues|7
blazes|1
light|8
heate|4
extinct|1
promise|2
making|5
somewhat|1
scanter|1
maiden|2
presence|3
set|22
entreatments|1
higher|1
rate|1
command|13
parley|1
larger|1
tether|1
broakers|1
inuestments|1
meere|3
implorators|1
vnholy|1
sutes|1
breathing|2
sanctified|1
pious|2
beguile|2
plaine|1
tearmes|2
slander|1
moment|2
leisure|1
words|19
talke|2
wayes|3
bites|1
shrewdly|1
nipping|1
eager|1
hower|3
lacks|1
strooke|3
drawes|2
held|2
wont|3
meane|12
takes|7
rouse|2
keepes|6
wassels|1
swaggering|1
vpspring|1
reeles|1
dreines|1
draughts|1
renish|2
kettle|2
drum|1
bray|1
triumph|1
pledge|1
horat|1
custome|8
mind|2
manner|1
borne|8
breach|1
obseruance|2
angels|3
ministers|1
defend|2
goblin|1
damn|5
bring|12
ayres|1
blasts|1
euents|1
charitable|2
com|2
questionable|1
shape|6
royall|3
burst|3
ignorance|3
canoniz|1
bones|4
hearsed|1
cerments|1
sepulcher|1
quietly|1
enurn|1
op|1
ponderous|1
marble|1
iawes|1
compleat|1
reuisits|1
glimpses|1
hidious|1
fooles|2
horridly|2
shake|3
beyond|2
reaches|1
soules|5
wherefore|3
beckens|1
beckons|1
impartment|1
courteous|1
action|10
wafts|2
remoued|1
pins|1
fee|2
immortall|1
waues|1
tempt|3
floud|1
sonnet|1
cliffe|1
beetles|1
base|4
assumes|1
horrible|4
depriue|1
soueraignty|1
draw|9
madnesse|21
rul|2
cries|5
makes|16
petty|1
artire|1
hardy|1
nemian|1
lions|1
nerue|1
cal|2
vnhand|1
heau|2
n|5
lets|3
desperate|5
imagination|4
fit|12
issue|2
rotten|2
direct|4
wilt|8
lead|3
gho|9
sulphurous|1
tormenting|1
flames|1
render|1
alas|9
pitty|2
lend|4
serious|1
hearing|4
reuenge|11
shalt|5
doom|1
certaine|4
confin|1
fast|4
fiers|1
crimes|3
dayes|6
burnt|1
purg|1
forbid|2
secrets|1
prison|5
house|4
could|31
tale|4
lightest|1
harrow|1
freeze|1
blood|12
starres|3
start|4
spheres|1
knotty|1
combined|1
lockes|1
haire|2
end|17
quilles|1
fretfull|1
porpentine|1
eternall|2
blason|1
didst|1
vnnaturall|4
murther|10
wings|2
swift|2
meditation|1
sweepe|1
apt|2
duller|1
fat|6
weede|1
rots|1
lethe|1
wharfe|1
stirre|3
sleeping|4
orchard|2
serpent|2
stung|1
forged|1
processe|3
rankly|1
abus|1
sting|2
weares|1
crowne|6
propheticke|1
adulterate|1
witchcraft|2
wits|6
traitorous|1
guifts|1
wit|4
gifts|4
seduce|1
won|1
shamefull|1
lust|2
seeming|4
vertuous|1
falling|2
dignity|2
went|5
vow|2
decline|1
wretch|3
naturall|5
neuer|24
wil|4
moued|1
lewdnesse|1
court|4
radiant|1
angell|2
link|1
sate|3
celestiall|2
prey|1
garbage|1
sent|14
mornings|1
briefe|2
alwayes|2
afternoone|1
secure|2
stole|3
iuyce|1
cursed|4
hebenon|1
violl|1
porches|1
poure|1
leaperous|1
distilment|1
holds|5
enmity|1
quick|1
courses|1
gates|1
allies|1
sodaine|5
vigour|1
posset|1
curd|1
aygre|1
droppings|1
milke|1
thin|1
instant|4
tetter|1
bak|2
lazar|1
vile|1
loathsome|1
crust|1
smooth|2
dispatcht|1
cut|2
blossomes|1
sinne|2
vnhouzzled|1
disappointed|1
vnnaneld|1
reckoning|1
account|1
imperfections|1
couch|2
luxury|1
damned|6
incest|1
howsoeuer|1
pursuest|1
taint|1
contriue|2
ought|9
thornes|1
bosome|4
lodge|1
pricke|1
glow|2
worme|1
showes|1
matine|1
gins|1
vneffectuall|1
adue|5
host|1
couple|1
sinnewes|1
stiffely|1
seate|1
distracted|4
globe|1
yea|4
table|7
wipe|2
triuiall|1
fond|2
records|1
sawes|1
bookes|1
presures|1
past|4
obseruation|1
coppied|1
commandment|1
booke|4
volume|1
braine|5
vnmixt|1
baser|2
matter|26
pernicious|1
villaine|11
smile|2
m|5
sure|7
vnckle|3
sworn|1
illo|1
ho|6
hillo|1
boy|3
wonderfull|2
reueale|1
think|4
secret|4
nere|1
dwelling|1
arrant|2
knaue|5
needs|6
graue|15
right|11
busines|1
desires|3
point|5
wild|2
hurling|1
sorry|2
offend|1
offence|9
saint|1
patricke|1
vision|1
remaster|1
schollers|2
soldiers|3
request|1
known|1
seen|2
swear|1
infaith|2
sword|16
marcell|1
sworne|2
already|4
sweare|9
vnder|5
stage|4
ah|2
sayest|1
truepenny|1
selleredge|1
propose|2
oath|2
hic|1
vbique|1
shift|1
grownd|2
hither|8
lay|8
mole|1
worke|9
worthy|1
pioner|1
remoue|2
wondrous|2
stranger|1
dream|1
